Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Tahun,Indeks Pembangunan Manusia,Rata-rata Lama Sekolah
ACEH,7.39,6.57,65.59,63.74,2017,70.6,8.98
SUMATERA UTARA,6.41,5.6,69.13,68.88,2017,70.57,9.25
SUMATERA BARAT,5.8,5.58,70.42,66.29,2017,71.24,8.72
RIAU,5.76,6.22,68.42,64.0,2017,71.79,8.76
JAMBI,3.67,3.87,70.84,67.52,2017,69.99,8.15
SUMATERA SELATAN,3.8,4.39,72.12,69.5,2017,68.86,7.99
BENGKULU,2.81,3.74,74.59,69.3,2017,69.95,8.47
LAMPUNG,4.43,4.33,71.63,67.83,2017,68.25,7.79
KEP. BANGKA BELITUNG,4.46,3.78,70.35,66.72,2017,69.99,7.78
KEP. RIAU,6.44,7.16,73.47,66.41,2017,74.45,9.79
DKI JAKARTA,5.36,7.14,70.18,61.97,2017,80.06,11.02
JAWA BARAT,8.49,8.22,64.6,63.34,2017,70.69,8.14
JAWA TENGAH,4.15,4.57,70.2,69.11,2017,70.52,7.27
DI YOGYAKARTA,2.84,3.02,72.0,71.52,2017,78.89,9.19
JAWA TIMUR,4.1,4.0,68.93,68.78,2017,70.27,7.34
BANTEN,7.75,9.28,67.23,62.32,2017,71.42,8.53
BALI,1.28,1.48,76.87,75.24,2017,74.3,8.55
NUSA TENGGARA BARAT,3.86,3.32,72.62,68.49,2017,66.58,6.9
NUSA TENGGARA TIMUR,3.21,3.27,72.82,69.09,2017,63.73,7.15
KALIMANTAN BARAT,4.22,4.36,72.03,68.63,2017,66.26,7.05
KALIMANTAN TENGAH,3.13,4.23,73.64,67.74,2017,69.79,8.29
KALIMANTAN SELATAN,3.53,4.77,73.41,70.06,2017,69.65,7.99
KALIMANTAN TIMUR,8.55,6.91,65.45,63.75,2017,75.12,9.36
KALIMANTAN UTARA,5.17,5.54,68.33,68.24,2017,69.84,8.62
